Unnamed: 0,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,review_length,sentiment
21,A18YFCLL3GBD0T,0700099867,Tara T.,"[4, 6]","I would like give this game 4 or 5 stars, if I could get it to run. Like others the game crashes on start-up or in the game and Codemasters has been absolutely no help in correcting it. Why they can't get their asses in gear (pun intended) and fix it I don't know, but with so many folks reporting the problem it isn't just occasional. I assume they either can't replicate the problem or just don't care. Lacking any help from Codemasters, I've tried the various fan fixes, including uninstalling Rapture 3D. Also tried installing on Vista and Win 7 and that didn't help either, which is a shame since from the other reviews it seems like a great racing sim.",0.0,Abysmal support from Codemasters,1315958400,"09 14, 2011",658,negative
22,A1BHRNLW2L8KLD,0700099867,T. Hanson,"[0, 1]","The game itself is great, but Games for Windows Live is such a frustrating piece of garbage.  I wish it would just die and stop bringing down my PC gaming experience.",1.0,Games for Windows Live...,1373500800,"07 11, 2013",166,negative
23,A1CB8HH9YJ2YZE,0700099867,TheITMan,"[11, 11]","This is a pretty fun game, but you have to buy most of the cars and tracks from the online store. The game claims to provide so much more content, however, the ""scam"" is, that you don't get that content with the game. You need to buy it. If you win races you will get a message saying ""YAY! You can now purchase your new car from the online store!!!""OMG REALLY??? I CAN SPEND MORE MONEY ON A GAME I ALREADY PAID FOR??? NO WAI!!!!But overall, if you don't mind playing with the same default cars all the time, it's a pretty fun game. I really only play online mode, which allows you to race against other people. The computer on this game is WAY to easy so single player isn't any fun. You could drive backwords and still beat the computer.",2.0,Fun,1339200000,"06 9, 2012",739,negative
30,A1ZVPEC9L7ASJI,6050036071,Plasmarobo,"[0, 0]","I cannot get this thing to work with my Wii Rockband 3.It might be related to the USB hub that I'm using, but it simply refuses to be detected by the game.Cosmetically, it's a microphone. Bit on the ugly side.I would be wary of compatibility issues with this one.",0.0,Limited Compatability,1365724800,"04 12, 2013",263,negative
37,A2UOHFR8DBQGGE,7100027950,MarkNES,"[0, 19]","Are 9 out of 10 GAMECUBE games like this little kid's game terrible? Answer: YesI bought the game, and I regret it so much!",0.0,I regret buying this...,1336089600,"05 4, 2012",123,negative
43,A1IZGZFO1W4UX0,7293000936,Mike Wahl,"[0, 0]","I was very disappointed in this item.  We thought we would get a better picture than the standard WII video cables, but definatley took a leap in the wrong direction.  I would not recommend.",0.0,Fuzzy picture.,1320624000,"11 7, 2011",190,negative
46,AEAHPQI8H9PJ7,8176503290,Jeremy R. Gleason,"[1, 1]",I enjoyed the first Hawx game. However they left out some key things in Hawx 21) No coop mode - I really enjoyed that2) Can't choose your own plane right off the bat. You have to use whatever they tell you.Those two things will make me not play this game anymore!,1.0,Not as good as the first one,1335657600,"04 29, 2012",263,negative
47,A2YV0F1VTUGV54,8176503290,John,"[0, 0]","I loved the first Hawx PC game when it came out. Playing Hawx 2 got boring after several missions, is just a shame.",1.0,Boring,1363305600,"03 15, 2013",115,negative
51,A1L382QNPG7FQQ,907843905X,C. Clark,"[2, 6]","There are at least 5 missions that cannot be completed without joining the forum, then the Creator's Forum, and a lot of research, downloading, etc.  4 of these defective missions were built by ""Bottman""...someone that should definitely find another occupation.BUT...do not waste your time because the missions are incredibly boring and far from challenging.  The ones they label as ""Hard"" are as easy as those labeled ""Easy"".  My 6-year granddaughter could do most of them after 15 minutes of instruction.Do not buy this product.  The GFX are circa 2003, the user interface far from intuitive, and the support abysmal. It's a waste of money & time.Too bad.  Ship.sim 2006 was actually better....AND all the missions worked.  Vstep took one giant step backward.",0.0,Full of bugs/no patch to fix them/Vstep forum a joke,1259712000,"12 2, 2009",761,negative
57,A2UMFJ6CJAY5GX,9625990674,Alex,"[0, 1]",nice cheap made cover it doesnt fot very tight but it does the job if you want to extend the life of your controller this is it,2.0,cover,1320796800,"11 9, 2011",127,negative
59,AP0JOJSGM5SUR,9625990674,b,"[0, 1]",its looks awesome but the down side is that it kinda slides when playing with the controller but still like it,2.0,Nice But.....,1360540800,"02 11, 2013",110,negative
71,A1SN8NEULE5JFO,9625990674,OverUnder,"[0, 0]","Great protection and grip for a while, but like a latex glove, it stretches out after a little time.  For the price, a great deal.",2.0,Great for the price,1386201600,"12 5, 2013",130,negative
72,A1UFY2YWV81UZB,9625990674,Paul Stewart,"[0, 0]","Not the greatest, but gets the job done. For the price I cannot complain, it is pretty delicate, but it is rubber what do you expect/",2.0,Does what it should,1368662400,"05 16, 2013",133,negative
76,A11JDD2KZVUOT6,9625990674,Tynan Tillack,"[0, 0]",advertised as more durable then they appear in person..but they are tight fitting and completely more protection..then say..Nothing and they do look more style-ish then plain..,2.0,different then I thought they'd be...,1357344000,"01 5, 2013",176,negative
88,A23QG3Y6FZEZO6,9861019731,nillapoet,"[0, 0]",This thing was DOA. It wasn't even worth returning for the money I spent on it. Don't waste your money on this card.,0.0,Broke,1375920000,"08 8, 2013",116,negative
91,AYVAVZJCR9914,9882155456,A.Bars,"[0, 0]",well atleast one of them worked what else could you want for the price. the other one works too just not all the time,2.0,one,1366848000,"04 25, 2013",117,negative
100,A19IX3U60WJL1V,9882155456,Edgar,"[0, 0]","They work fine but i feel like they have a little lag to the controls when i use it on my controller. And out of the two, one is already ripping. They get the job done but i dont think they will last very long.",2.0,works but flawed.,1389052800,"01 7, 2014",210,negative
108,A11WLSY40EPIHG,9882155456,Kyo,"[0, 0]","One of them broke immediately, the other one still works, I guess they're just too cheap and there's no telling if it will actually work longer than two days.",2.0,"Cheap cheap cheap, 50% works?",1393286400,"02 25, 2014",158,negative
110,A3E3X3IZG39DE2,9882155456,Mike,"[0, 0]","I have used these for months.out of no where no matter what happened it always looked like the joystick always was stuck going right. no matter what game or what controller i used, it always was going right. The other one is fine though.If you find one that is better quality definitely go with that one instead of these.Cool idea though...",2.0,Great Idea. Doesn't Last Long.,1356825600,"12 30, 2012",340,negative
111,ANW5096LTXW5O,9882155456,Rich,"[0, 0]","I bought 4 of these, 1 of which was shipped to me with defects, and 2 more became defective within about 2 weeks of normal use. I would not recommend these to any one, but couldn't give a 1 star as1 of 4 cords still works fine",1.0,"Cheaply made, works for the most part",1378944000,"09 12, 2013",226,negative
120,A1ZPVW0WXNJ3YZ,B000003SQQ,"Alex ""47""","[2, 3]","I bought this game way back and recently played it again.. well..the game was easy to beat when i was 6 and its still as easy.Well, my problem(s)?Not enough characters and its just not very fun and.. yeah that makes it boring.. but if ur a fan of the older games ( like me ) you may like this game ( unlike me )It's cheap now so, I guess it wouldn't hurt to pick it up.. it costs as much cash as to rent a game at the videostore..so do what you want with it.",0.0,Horrid,1108339200,"02 14, 2005",458,negative
122,A2QQHIY23PL7H3,B000003SQQ,Simon,"[2, 3]","Let's not mince words here: Clayfighter 63 1/3 is a poorly put-together game. The game had a lot of possibilities, but everything lacks polish. Characters are missing frames of animation, backgrounds look decent but unexceptional, and the fighting engine lacks the strategy of Street Fighter, the speed of Killer Instinct, or the playability of Mortal Kombat. In any normal world, this would be a one star game.Except somewhere along the way, Clayfighter 63 1/3 is so bad that it actually becomes good. Character design is pretty good, and the special moves and taunts are hilarious. The game is playable - not in any way that it can compete with the above-mentioned games, but it still makes you want to come back for another round, if just to see all the things the characters can do. There's also a bit more value once you unlock the secret characters, though it's frustrating that there's no save function that keeps these character unlocked.Certainly not worth full retail price, but the N64 is dead now so you should be able to snag this game for dirt cheap. Also be on the lookout for the Sculptor's Cut version: this was a Blockbuster-only release, but most were sold off as pre-played games. It contains a hilarious singing intro, 4 new characters, and other enhancements.",2.0,So bad it's entertaining,1102118400,"12 4, 2004",1281,negative
132,AACIKO4GH062J,B000006OVE,"Eric C. Avinger ""Zatoeric""","[0, 21]","this is an excellent game that really has some substance! the graphics are not the best and it is oversahdowed by the bigger game final fantasy VII. if FF7 was too long for you, get breath of fire 3. the story is good and the battle system is great!",0.0,one of playstaions best,1024272000,"06 17, 2002",249,negative
136,A3EU0FX5OZZ32P,B000006OVE,"""neomurtle""","[1, 4]","Breath Of Fire 3 is a traditional RPG with a combination of 3D and 2D graphics.  The characters are what one would expect from a BOF game. The battle layout is well done for the most part, even though the loading time for some commands is just horrible.  The Masters system is a cool idea, as you can shape your characters into any class you want by apprenticing them to the right master.  The feature that keeps BOF 3 from reaching classic status is the story.  It starts out interesting, but about halfway through the game it seems to lose it's purpose.  Another annoying aspect is the desert area near the end of the game. The directions they give you are vague and confusing.  Worst of all however, is after all the long hours you put into playing the game, the ending is short and stale. If you are a seasoned RPG fan and have played through all of the other RPGs for Playstation, BOF 3 will keep you busy until the next big hit arrives.  If you hate puzzles and long loading times however, Breath Of Fire 3 may not be your game.",2.0,"Starts out great, but loses steam near the end of the game",982886400,"02 23, 2001",1034,negative
142,ANIQ8Y26SJRTB,B000006OVI,"P. Rozsa ""luke rozsa""","[0, 1]",yeah the cpu is like  completley retarded gulie does not counter with his flip kicks ryu doesnt ever do his shukoken uppercuts to counter but  some of the characters can be pretty hard like T. Hawk but i just dont get the street fighter arcade - like feeling,1.0,good only for playing with friends,1207267200,"04 4, 2008",258,negative
145,AQMWZIH22R6LE,B000006OVI,"TwistaG ""Quoth the Raven 'Nevermore""","[2, 3]","The sheer number of games bearing some form of the name &quot;Street Fighter II&quot; is staggering. So when Capcom announced that it was putting together a compilation of Street Fighter games, I was stoked. My excitement quickly cooled when I discovered the true nature of Capcom's package. Street Fighter Collection contains Super Street Fighter 2, Super Street Fighter 2 Turbo, and Street Fighter Alpha 2 Gold, a slightly updated version of Street Fighter Alpha 2. The original Street Fighter 2, Champion Edition, and Hyper Fighting are nowhere to be found. The result is a shallow package that should have been so much more. The graphics and gameplay in the Super games are almost identical to what you remember. Every frame of original animation appears intact, and there isn't any noticeable slowdown. However, the graphics do appear a bit fuzzy. The sound is decent, and the music even speeds up and intensifies when a character is near death. The second disc contains Street Fighter Alpha 2 Gold. The game is almost entirely identical to Street Fighter Alpha 2, with only a few differences. First, any character that was in Street Fighter 2 Champion Edition can switch between normal and Champion Edition modes. Playing a CE version of a character disables his super meter and changes a few moves here and there. The CE character graphics are still Alpha 2-style. Also, there is now an Akuma mode, which pits your character against Akuma over and over again instead of fighting all the other characters. Also, Cammy is hidden in the game. She appears in her X-Men vs. Street Fighter costume. All this is fine and good, but what about all the other great Street Fighter games? Where's SF2 Turbo: Hyper Fighting? Or the original SF2, complete with Guile's &quot;handcuffs&quot; and all the other weird little glitches? Capcom truly missed out on a great opportunity by releasing a &quot;collection&quot; that is obscenely incomplete. If you're really itching to play SSF2 or SSF2T, this package is right up your alley. But fans hoping for a complete collection must keep on waiting.",2.0,Good but not great,1060732800,"08 13, 2003",2088,negative
154,AQ0IPFCF1UM92,B000006OVJ,Kevin M.,"[0, 0]","Well as far as the person who sold this to me goes, the game came as described and in a well timed manner and I would shop here again.  However, the game itself is just not as fun as I remembered.",2.0,Hmm,1390608000,"01 25, 2014",196,negative
164,A2GAP7XWBZU8QI,B000006OVK,Eric,"[10, 10]","I actually played the Saturn version with the 4MB RAM cart, and I have to say that the PS1 version SUCKS! Why? Because tag-team was taken out because the PS1 could not handle it. It did not have enough RAM (Random Access Memory) to switch fighters since it takes about at least 40 MB of RAM, and the PS1 only has 32 MB.  If Capcom did put in tag-team, then it would take forever to load up a character once you tag-team with it, you can tag-team with the same character, but it does not feel the same.I suggest get a Saturn, (it is only $10 bucks or less) get a 4MB RAM cart which you can find at EB.com, or any Video game store, and get the Import version of X-men vs. Street Fighter, trust me you wont be disappointed.",1.0,What was Capcom thinking?,1069286400,"11 20, 2003",720,negative
166,AJKWF4W7QD4NS,B000006OVK,"N. Durham ""Big Evil""","[2, 2]","To say that the PS1 version of Capcom's X-Men VS Street Fighter is butchered is saying it lightly.  What made the game so great in arcades was the tag-team feature in which you picked two fighters and could switch at any time during the fight.  This feature made for great fighting fun, but because of the PS1's RAM inabilities, that feature had to be omitted.  It's obvious Capcom released this game to make a quick buck on the X-Men and Street Fighter licenses, and while on it's own it can be a solid fighter without the tag-team feature, the graphics are painfully watered down, the game is loaded with sloppy frame rates, and there is loads of slowdown.  If you can get past all that, this may be worth checking out if your a Street Fighter fan, but the Marvel VS Capcom games that would be released later on next-gen systems are more worth your time.",1.0,Butchered arcade to home conversion,1107129600,"01 31, 2005",856,negative
170,A2WAJUSQCS6107,B000006OWR,Giancarlo Penninella,"[0, 0]","I spent a week trying to get a grasp of the controls for this game.  I'm a true Batman fan and even I had to put this game down after several attempts.  It was either too dark so you didn't know where the character was going or you couldn't establish enough control of the game to fight the bad guys.  Not real crazy about the commute to the crime location as well, it was hard to locate where you were going, unless you are the true dark knight who knows every inch of Gothem City.  Unfortunately, the writers expected us to know as well.",0.0,A terrible injustice to a longstanding icon.,1039046400,"12 5, 2002",539,negative
172,A1IJAHT66Y6VXZ,B000006OWR,jong chung,"[0, 2]","What do you mean &quot;A BIG GLITCH&quot;? Batman &amp; Robin is a mere better than poor! I've looked in a quiz, and two Italian plumbers (Mario and Luigi) both relate to this game. Besides, Mediocre is 10% better than poor.",2.0,IT'S NOT THAT BAD,1081641600,"04 11, 2004",224,negative
173,A6VFFRIHAXKRL,B000006OWR,"J. Paul ""John doe""","[0, 0]",Yes I'll review Batman & Robin to the Playstation and why couldn't have been like Batman Forever arcade. It's wrose than Batman Forever on SNES and Genesis. I don't know which is wrose this game or the Joel Schumacer film. Becuse I don't know what to do after I get the diamond. I know what I'm getting with the film a very bad one. Just leave them both alone.,0.0,Do I have to review this crap,1238716800,"04 3, 2009",360,negative
174,A3J8ABVGK7ZL6H,B000006OWR,SideshowBob,"[0, 1]","This game is complete crap.The graphics look decent,but the gameplay is for sh**.I can't even begin to tell you how bad ""Batman & Robin"" is.First off,the controls are terrible.You have a hell of a time trying to figure out how to fight,drive the batmobile,swim,use the gadgets...it's even a pain to try and walk.The map of Gotham is very small and all of the buildings of the area look the same.The game is also almost impossible.You get one life.After you die,it's game over,and right back to the beginning.You can also die quickly as well.You can play as either Batman,Robin or Batgirl,but their combat moves look absolutley retarded.Overall,this is THE WORST Batman game I have EVER PLAYED! ""Batman Forever"" on Genesis was better then this dud,and we all know how bad that game was.I HIGHLY recommend that you DO NOT buy this.The ONLY reason why you MIGHT wanna purchase this,is because it's a pretty rare game,and it could be a part of your game collection,but as far as the game itself goes....IT SUCKS!",0.0,Just as bad as the movie,1360022400,"02 5, 2013",1008,negative
180,A3JG09K1W72Q5,B000006P0J,Brandon,"[3, 4]","Most Teekns fans carer started with Tekken 3.  And if you were an aracde aholic, it started with 2.  Had this been the easrly 90's this gamewould have got 5 stars hands down.  But over the years, this game is aged.  Tekken 1, was not an arcade blokc buster, and really came to age on ome systems.  Most fans of later tekkens will notice that this game was left for improvements.  Thee characters, while perfect stunnning and apporpiate for the early 90's, are blocky and of little detail.  although it was light years beyond Virtua Fighter 1.  And the fact that this was one ofthe first 3-dgames without chessy ringouts,and a highly detail, and cue combo system.  Most fans of later tekken will notice the cheese factor of the gameplay.  You could basically, pumble the computer, or an human oppeonent with little ease on the ground.  Which was improved in later Tekkens.  And the 8 characters, which again was appropiate for the times.  The story of this game, goes back to early Tekken.  Heatchi(sp?) was the final Boss.And was pretty hard due tothe fact you could be killed with only 3 moves.  I dont remember if Devil Kaazu(sp?) was a secret boss. But he was selectable,only through a very hard unlock process.  Anyway, I know that the later Tekkens blowthis game way, but his is a classic.  Introdcuing oyung versions, of Tekken legends.  Law, Paul, and Kaazu(sp?).  This is a personal favorite of mines.  But the reason for the low rating is the fact that the gameplay was cheesy.  Which, again was greatly imporoved upon in later tekkens.",2.0,An overlooked classic,1009238400,"12 25, 2001",1545,negative
184,A154AUTVDPG2NV,B000006P0J,"L. Cotton ""King Games""","[0, 0]","The graphics and gameplay are very out dated. The movies at the end are stupid and only the first eight players have them. The only reason I even got this game is because I loved Tekken 2,3,Tag, and 4. The only reason I don't sell this is I want to have all the tekkens, but if you want to buy it, don't pay more than $2 for it.",1.0,The start of the best game seris ever,1174435200,"03 21, 2007",328,negative
192,A1ZTHW8CSTPZQD,B000006P0K,Erica .D,"[0, 0]",I bought this because i enjoy fighting games. But the controls are so hard. If it used analog control it would be a lot easier. But overall its an o.k game!,2.0,Difficult! But a decent game,1346976000,"09 7, 2012",156,negative
212,A2LY7GPTXH2A9B,B000006RGO,"Michael Anthony ""Hybridblues""","[0, 0]",I liked the story and the graphics weren't that bad but the main problem was with the controls and the camera angles at times. If not for that this game would've been great.,2.0,Could have been better,1120521600,"07 5, 2005",173,negative
216,A1LBGXE29GG1IR,B000006RGQ,"Coffee Addicted Writer's Reviews ""Billy""","[1, 1]","Throughout the years there have been dozens of Street Fighter ripoffs including Fighting Force. This is basically the same as all the others, but it does have some surprisingly decent graphics for a PS1 game.",2.0,Fighting Force,1350172800,"10 14, 2012",208,negative
217,A11LS12ZU93SV6,B000006RGQ,"DeRosset Myers ""DeRo""","[3, 5]","You know you're in trouble when other terrible video games are compared to you. Though only a little worse than Charlie's Angels (GameCube) and not as bad as Hidden Invasion (PlayStation2), Fighting Force is the difinitive bad adventure-fighting game that fits on the same crap list as Burning Fight. Even Brawl Bros and Peace Keepers are better than this, and that's saying a lot.You get your pick from four forgettable crime fighters: pixie-pig-tailed Alana, gruff Hawk, leather-pants-wearing ""Look at me, I'm Nabiki Tendo"" Mace, and prison inmate Smasher. They're out to get a psychopath who believes the world should have ended at the beginning of 2000 A.D. and is now determined to make that happen. Maybe he should have waited through the other 23 times it turned New Years day across the world.Many Sega Saturn owners didn't realize then how lucky they were that this game was cancelled on their system. Nintendo 64 owners were not so lucky, and I wasn't so lucky after getting the PlayStation version.The controls are sloppy, the hit detection is horrible, especially the dash attacks, and the character animation is almost jerky enough to look like an old claymation cartoon.If there is one redeeming factor, it is the music. Though not great, the musical scores in this game are a nice touch. The only reason you should buy this disc is to pop it into a CD-playing radio or computer and skip track one since that's just a data track ... meaning all you will hear, if anything, is an annoying buzz. Start on Track 2, sit back, and enjoy the only good thing about this game.",1.0,Pretty awful,1144886400,"04 13, 2006",1582,negative
223,A18JPN9WD6V98F,B000006RGQ,t,"[0, 0]","First and best, good to play with friends but this game can be a bit aimless at times.  Haven't touched it in years though.",2.0,not bad,1391299200,"02 2, 2014",123,negative
228,A2J55HYXQYGZXB,B000006RGR,"J. Acosta ""Johnny""","[0, 0]",By far this game it's much more fair than the original Tomb Raider. This one at least let you safe the progress anywhere in the game without looking for any type of save crystals which made original game incredibly difficult and punishing.  This sequel may not be the best game out there for the PS1 but at least it's a bit more fun to play.,2.0,A better game than the original,1236729600,"03 11, 2009",341,negative
234,A1OMDXD8O3XT57,B000006RGR,Nate Brooks,"[0, 7]","I was only 5 years old my first time playing this game back in Christmas of 1997. I was never able to get past the first couple levels then. But I always loved this game. It was magic back then. The graphics were also great THEN. Second time around, I was 12 and it was 2004. I was able to finally finish the entire game and find all the secrets to. Now in 2012, I had the urge to replay this game again. To get those feeling of being so young. I'm 19, and the magic is completely gone, and for ONE REASON.BE WARNED...... if you have a full HD TV and have a PS3, and bought a physical copy of this game......the playback visuals of this game will be absolutely HORRIBLE! It completely hinders your ability to even play through the game because EVERYTHING is so pixelated if you will. Like I NEVER remembered this game looking so bad before, but I have to assume it had always looked this way but I was in a different era of technology then. HD TVs are completely unforgiving to these types of games. I'm not sure if the the digital copy available on the PSN is any better, but the actual physical copy is not meant for a HD display even in it respective aspect ratio. Maybe just playing this game on standard definition TV might help, but I haven't tried that either. I will just have to remember the game like when I was young as the best PS1 game I ever played and then later the only one I ever beat. To the future gamers!",0.0,Magic......GONE!,1332288000,"03 21, 2012",1425,negative
248,A1HJ2ADX8TH5F6,B000006RGS,G. Hollis,"[5, 13]","I'm going to fly in the face of convention wisdom and assert that Tomb Raider is not a good game. I like the concept, the puzzle solving and exploration. I like that it's a great diversion from the standard shoot-em up. The problem is with the tedious game play. The game is tough, just from the mental standpoint and it takes some effort to figure out what you're supposed to be doing in each level. But that's part of the fun, figuring things out. Unfortunately, it's moving through the levels and getting from point A to point B that is problematic. There are way too many places where you have to make a pinpoint precision jump or other move with absolutely NO margin for error. In some cases this means you fall somewhere and have to climb back to your starting point, or in some cases you die, meaning you have to start the whole level over again. And after trying one of these jumps over and over and over, you finally get frustrated and give up. There were instances where I tried a jump over and over, and then suddenly made the jump and had no idea what I had done differently from the previous numerous attempts. For any game to be that touchy is just a disgrace. It's too bad, I think I could have liked this game but the tedious pinpoint controller movements ulitmately ruined the game for me. I know it's one of PSX &quot;greatest hits&quot; and very popular, but if don't like tedious games, you'll want to avoid this one.",1.0,"Concept is good, but tedious game play really spoils the fun",999043200,"08 29, 2001",1437,negative
254,AHJ9HFAXNN86U,B000006RGS,"M. Vasiljevic ""Marko V.""","[1, 3]","I didn't beat the game so I guess my opinion shouldn't count...but here it is:This game has GREAT historical value. Prince: Sands of Time, Soul Reaver, God of War and many others are based on some things that Tomb Raider made popular.Game would be perfect if save points were better placed. It would be best to have a save game option at any point but those were old times...What I disliked: I beat Mexico levels playing each one two to six hours. I got to St Francis' Folly level.Things started to look really tiresome: first, I spent too much energy beating pillar sub-level and didn't have spare medpack reaching ground floor. I restarted. I got enough energy by reaching ground but wasn't able to beat pool puzzle on top. Then I figured out that I should have gone to the ground WITHOUT USING SAVE CRYSTALS, open all puzzle doors (top level door is connected to ground switch) and then climb back up...which means another level restart.Maybe this game is for hardcore fans, but I am not one of them...I got frustrated enough to quit.",2.0,Unbalanced difficulty of levels,1247184000,"07 10, 2009",1037,negative
267,A1JHJ48J9EZNMH,B000007NJC,Robert evans,"[0, 4]",This wwf game sucks...Boring...Graphics are alright...It was just plain awful EVEN FOR IT'S TIME!UGH this game was slo[...] get this game..GET NO MERCY!  BEST WWF GAME EVER!...This game was very dull and boring...If I could give it a zero I would...THIS GAME FLAT OUT SUCKS!good thing I Baught this for a 2 bucks....But still that was a waste...Later,0.0,ohhh THE PAIN!!!,1089590400,"07 12, 2004",350,negative
274,A38MZX4OMBBXIC,B00000DMA8,"""atlantis_az""","[1, 2]","Getting this game would be a waste of time and money.  For halfthe price of this I'd rather get a game that offers better graphics,better realism, and better everything.  If you haven't already guessed it's Red Alert.  Even though it looks pretty good, after about a week you won't want to play it anymore.  With Red Alert I continually go back to try just one more strategy... I think they just sat down and set a deadline for this game and the guys making it waited until the last week to do it.  Right now all you need to do is type in the search box up there &quot;Red Alert&quot; and buy that game... You will have a way better game and not spend as much.",0.0,Don't Even Think About Getting This Game,958262400,"05 14, 2000",660,negative
