review,cluster
"This is a pretty fun game, but you have to buy most of the cars and tracks from the online store. The game claims to provide so much more content, however, the ""scam"" is, that you don't get that content with the game. You need to buy it. If you win races you will get a message saying ""YAY! You can now purchase your new car from the online store!!!""OMG REALLY??? I CAN SPEND MORE MONEY ON A GAME I ALREADY PAID FOR??? NO WAI!!!!But overall, if you don't mind playing with the same default cars all the time, it's a pretty fun game. I really only play online mode, which allows you to race against other people. The computer on this game is WAY to easy so single player isn't any fun. You could drive backwords and still beat the computer.",1
"I cannot get this thing to work with my Wii Rockband 3.It might be related to the USB hub that I'm using, but it simply refuses to be detected by the game.Cosmetically, it's a microphone. Bit on the ugly side.I would be wary of compatibility issues with this one.",2
"Are 9 out of 10 GAMECUBE games like this little kid's game terrible? Answer: YesI bought the game, and I regret it so much!",6
"I was very disappointed in this item.  We thought we would get a better picture than the standard WII video cables, but definatley took a leap in the wrong direction.  I would not recommend.",2
I enjoyed the first Hawx game. However they left out some key things in Hawx 21) No coop mode - I really enjoyed that2) Can't choose your own plane right off the bat. You have to use whatever they tell you.Those two things will make me not play this game anymore!,4
"I loved the first Hawx PC game when it came out. Playing Hawx 2 got boring after several missions, is just a shame.",5
"There are at least 5 missions that cannot be completed without joining the forum, then the Creator's Forum, and a lot of research, downloading, etc.  4 of these defective missions were built by ""Bottman""...someone that should definitely find another occupation.BUT...do not waste your time because the missions are incredibly boring and far from challenging.  The ones they label as ""Hard"" are as easy as those labeled ""Easy"".  My 6-year granddaughter could do most of them after 15 minutes of instruction.Do not buy this product.  The GFX are circa 2003, the user interface far from intuitive, and the support abysmal. It's a waste of money & time.Too bad.  Ship.sim 2006 was actually better....AND all the missions worked.  Vstep took one giant step backward.",4
nice cheap made cover it doesnt fot very tight but it does the job if you want to extend the life of your controller this is it,2
its looks awesome but the down side is that it kinda slides when playing with the controller but still like it,2
"Great protection and grip for a while, but like a latex glove, it stretches out after a little time.  For the price, a great deal.",2
"Not the greatest, but gets the job done. For the price I cannot complain, it is pretty delicate, but it is rubber what do you expect/",2
advertised as more durable then they appear in person..but they are tight fitting and completely more protection..then say..Nothing and they do look more style-ish then plain..,2
This thing was DOA. It wasn't even worth returning for the money I spent on it. Don't waste your money on this card.,2
well atleast one of them worked what else could you want for the price. the other one works too just not all the time,2
"They work fine but i feel like they have a little lag to the controls when i use it on my controller. And out of the two, one is already ripping. They get the job done but i dont think they will last very long.",2
"One of them broke immediately, the other one still works, I guess they're just too cheap and there's no telling if it will actually work longer than two days.",2
"I have used these for months.out of no where no matter what happened it always looked like the joystick always was stuck going right. no matter what game or what controller i used, it always was going right. The other one is fine though.If you find one that is better quality definitely go with that one instead of these.Cool idea though...",2
"I bought 4 of these, 1 of which was shipped to me with defects, and 2 more became defective within about 2 weeks of normal use. I would not recommend these to any one, but couldn't give a 1 star as1 of 4 cords still works fine",2
"I bought this game way back and recently played it again.. well..the game was easy to beat when i was 6 and its still as easy.Well, my problem(s)?Not enough characters and its just not very fun and.. yeah that makes it boring.. but if ur a fan of the older games ( like me ) you may like this game ( unlike me )It's cheap now so, I guess it wouldn't hurt to pick it up.. it costs as much cash as to rent a game at the videostore..so do what you want with it.",5
"Let's not mince words here: Clayfighter 63 1/3 is a poorly put-together game. The game had a lot of possibilities, but everything lacks polish. Characters are missing frames of animation, backgrounds look decent but unexceptional, and the fighting engine lacks the strategy of Street Fighter, the speed of Killer Instinct, or the playability of Mortal Kombat. In any normal world, this would be a one star game.Except somewhere along the way, Clayfighter 63 1/3 is so bad that it actually becomes good. Character design is pretty good, and the special moves and taunts are hilarious. The game is playable - not in any way that it can compete with the above-mentioned games, but it still makes you want to come back for another round, if just to see all the things the characters can do. There's also a bit more value once you unlock the secret characters, though it's frustrating that there's no save function that keeps these character unlocked.Certainly not worth full retail price, but the N64 is dead now so you should be able to snag this game for dirt cheap. Also be on the lookout for the Sculptor's Cut version: this was a Blockbuster-only release, but most were sold off as pre-played games. It contains a hilarious singing intro, 4 new characters, and other enhancements.",4
"this is an excellent game that really has some substance! the graphics are not the best and it is oversahdowed by the bigger game final fantasy VII. if FF7 was too long for you, get breath of fire 3. the story is good and the battle system is great!",5
"Breath Of Fire 3 is a traditional RPG with a combination of 3D and 2D graphics.  The characters are what one would expect from a BOF game. The battle layout is well done for the most part, even though the loading time for some commands is just horrible.  The Masters system is a cool idea, as you can shape your characters into any class you want by apprenticing them to the right master.  The feature that keeps BOF 3 from reaching classic status is the story.  It starts out interesting, but about halfway through the game it seems to lose it's purpose.  Another annoying aspect is the desert area near the end of the game. The directions they give you are vague and confusing.  Worst of all however, is after all the long hours you put into playing the game, the ending is short and stale. If you are a seasoned RPG fan and have played through all of the other RPGs for Playstation, BOF 3 will keep you busy until the next big hit arrives.  If you hate puzzles and long loading times however, Breath Of Fire 3 may not be your game.",4
yeah the cpu is like  completley retarded gulie does not counter with his flip kicks ryu doesnt ever do his shukoken uppercuts to counter but  some of the characters can be pretty hard like T. Hawk but i just dont get the street fighter arcade - like feeling,0
"The sheer number of games bearing some form of the name &quot;Street Fighter II&quot; is staggering. So when Capcom announced that it was putting together a compilation of Street Fighter games, I was stoked. My excitement quickly cooled when I discovered the true nature of Capcom's package. Street Fighter Collection contains Super Street Fighter 2, Super Street Fighter 2 Turbo, and Street Fighter Alpha 2 Gold, a slightly updated version of Street Fighter Alpha 2. The original Street Fighter 2, Champion Edition, and Hyper Fighting are nowhere to be found. The result is a shallow package that should have been so much more. The graphics and gameplay in the Super games are almost identical to what you remember. Every frame of original animation appears intact, and there isn't any noticeable slowdown. However, the graphics do appear a bit fuzzy. The sound is decent, and the music even speeds up and intensifies when a character is near death. The second disc contains Street Fighter Alpha 2 Gold. The game is almost entirely identical to Street Fighter Alpha 2, with only a few differences. First, any character that was in Street Fighter 2 Champion Edition can switch between normal and Champion Edition modes. Playing a CE version of a character disables his super meter and changes a few moves here and there. The CE character graphics are still Alpha 2-style. Also, there is now an Akuma mode, which pits your character against Akuma over and over again instead of fighting all the other characters. Also, Cammy is hidden in the game. She appears in her X-Men vs. Street Fighter costume. All this is fine and good, but what about all the other great Street Fighter games? Where's SF2 Turbo: Hyper Fighting? Or the original SF2, complete with Guile's &quot;handcuffs&quot; and all the other weird little glitches? Capcom truly missed out on a great opportunity by releasing a &quot;collection&quot; that is obscenely incomplete. If you're really itching to play SSF2 or SSF2T, this package is right up your alley. But fans hoping for a complete collection must keep on waiting.",0
"Well as far as the person who sold this to me goes, the game came as described and in a well timed manner and I would shop here again.  However, the game itself is just not as fun as I remembered.",5
"I actually played the Saturn version with the 4MB RAM cart, and I have to say that the PS1 version SUCKS! Why? Because tag-team was taken out because the PS1 could not handle it. It did not have enough RAM (Random Access Memory) to switch fighters since it takes about at least 40 MB of RAM, and the PS1 only has 32 MB.  If Capcom did put in tag-team, then it would take forever to load up a character once you tag-team with it, you can tag-team with the same character, but it does not feel the same.I suggest get a Saturn, (it is only $10 bucks or less) get a 4MB RAM cart which you can find at EB.com, or any Video game store, and get the Import version of X-men vs. Street Fighter, trust me you wont be disappointed.",7
"To say that the PS1 version of Capcom's X-Men VS Street Fighter is butchered is saying it lightly.  What made the game so great in arcades was the tag-team feature in which you picked two fighters and could switch at any time during the fight.  This feature made for great fighting fun, but because of the PS1's RAM inabilities, that feature had to be omitted.  It's obvious Capcom released this game to make a quick buck on the X-Men and Street Fighter licenses, and while on it's own it can be a solid fighter without the tag-team feature, the graphics are painfully watered down, the game is loaded with sloppy frame rates, and there is loads of slowdown.  If you can get past all that, this may be worth checking out if your a Street Fighter fan, but the Marvel VS Capcom games that would be released later on next-gen systems are more worth your time.",0
"I spent a week trying to get a grasp of the controls for this game.  I'm a true Batman fan and even I had to put this game down after several attempts.  It was either too dark so you didn't know where the character was going or you couldn't establish enough control of the game to fight the bad guys.  Not real crazy about the commute to the crime location as well, it was hard to locate where you were going, unless you are the true dark knight who knows every inch of Gothem City.  Unfortunately, the writers expected us to know as well.",3
"What do you mean &quot;A BIG GLITCH&quot;? Batman &amp; Robin is a mere better than poor! I've looked in a quiz, and two Italian plumbers (Mario and Luigi) both relate to this game. Besides, Mediocre is 10% better than poor.",6
Yes I'll review Batman & Robin to the Playstation and why couldn't have been like Batman Forever arcade. It's wrose than Batman Forever on SNES and Genesis. I don't know which is wrose this game or the Joel Schumacer film. Becuse I don't know what to do after I get the diamond. I know what I'm getting with the film a very bad one. Just leave them both alone.,7
"This game is complete crap.The graphics look decent,but the gameplay is for sh**.I can't even begin to tell you how bad ""Batman & Robin"" is.First off,the controls are terrible.You have a hell of a time trying to figure out how to fight,drive the batmobile,swim,use the gadgets...it's even a pain to try and walk.The map of Gotham is very small and all of the buildings of the area look the same.The game is also almost impossible.You get one life.After you die,it's game over,and right back to the beginning.You can also die quickly as well.You can play as either Batman,Robin or Batgirl,but their combat moves look absolutley retarded.Overall,this is THE WORST Batman game I have EVER PLAYED! ""Batman Forever"" on Genesis was better then this dud,and we all know how bad that game was.I HIGHLY recommend that you DO NOT buy this.The ONLY reason why you MIGHT wanna purchase this,is because it's a pretty rare game,and it could be a part of your game collection,but as far as the game itself goes....IT SUCKS!",5
"Most Teekns fans carer started with Tekken 3.  And if you were an aracde aholic, it started with 2.  Had this been the easrly 90's this gamewould have got 5 stars hands down.  But over the years, this game is aged.  Tekken 1, was not an arcade blokc buster, and really came to age on ome systems.  Most fans of later tekkens will notice that this game was left for improvements.  Thee characters, while perfect stunnning and apporpiate for the early 90's, are blocky and of little detail.  although it was light years beyond Virtua Fighter 1.  And the fact that this was one ofthe first 3-dgames without chessy ringouts,and a highly detail, and cue combo system.  Most fans of later tekken will notice the cheese factor of the gameplay.  You could basically, pumble the computer, or an human oppeonent with little ease on the ground.  Which was improved in later Tekkens.  And the 8 characters, which again was appropiate for the times.  The story of this game, goes back to early Tekken.  Heatchi(sp?) was the final Boss.And was pretty hard due tothe fact you could be killed with only 3 moves.  I dont remember if Devil Kaazu(sp?) was a secret boss. But he was selectable,only through a very hard unlock process.  Anyway, I know that the later Tekkens blowthis game way, but his is a classic.  Introdcuing oyung versions, of Tekken legends.  Law, Paul, and Kaazu(sp?).  This is a personal favorite of mines.  But the reason for the low rating is the fact that the gameplay was cheesy.  Which, again was greatly imporoved upon in later tekkens.",0
"The graphics and gameplay are very out dated. The movies at the end are stupid and only the first eight players have them. The only reason I even got this game is because I loved Tekken 2,3,Tag, and 4. The only reason I don't sell this is I want to have all the tekkens, but if you want to buy it, don't pay more than $2 for it.",0
I bought this because i enjoy fighting games. But the controls are so hard. If it used analog control it would be a lot easier. But overall its an o.k game!,0
I liked the story and the graphics weren't that bad but the main problem was with the controls and the camera angles at times. If not for that this game would've been great.,5
"Throughout the years there have been dozens of Street Fighter ripoffs including Fighting Force. This is basically the same as all the others, but it does have some surprisingly decent graphics for a PS1 game.",0
"You know you're in trouble when other terrible video games are compared to you. Though only a little worse than Charlie's Angels (GameCube) and not as bad as Hidden Invasion (PlayStation2), Fighting Force is the difinitive bad adventure-fighting game that fits on the same crap list as Burning Fight. Even Brawl Bros and Peace Keepers are better than this, and that's saying a lot.You get your pick from four forgettable crime fighters: pixie-pig-tailed Alana, gruff Hawk, leather-pants-wearing ""Look at me, I'm Nabiki Tendo"" Mace, and prison inmate Smasher. They're out to get a psychopath who believes the world should have ended at the beginning of 2000 A.D. and is now determined to make that happen. Maybe he should have waited through the other 23 times it turned New Years day across the world.Many Sega Saturn owners didn't realize then how lucky they were that this game was cancelled on their system. Nintendo 64 owners were not so lucky, and I wasn't so lucky after getting the PlayStation version.The controls are sloppy, the hit detection is horrible, especially the dash attacks, and the character animation is almost jerky enough to look like an old claymation cartoon.If there is one redeeming factor, it is the music. Though not great, the musical scores in this game are a nice touch. The only reason you should buy this disc is to pop it into a CD-playing radio or computer and skip track one since that's just a data track ... meaning all you will hear, if anything, is an annoying buzz. Start on Track 2, sit back, and enjoy the only good thing about this game.",0
"First and best, good to play with friends but this game can be a bit aimless at times.  Haven't touched it in years though.",5
By far this game it's much more fair than the original Tomb Raider. This one at least let you safe the progress anywhere in the game without looking for any type of save crystals which made original game incredibly difficult and punishing.  This sequel may not be the best game out there for the PS1 but at least it's a bit more fun to play.,7
"I was only 5 years old my first time playing this game back in Christmas of 1997. I was never able to get past the first couple levels then. But I always loved this game. It was magic back then. The graphics were also great THEN. Second time around, I was 12 and it was 2004. I was able to finally finish the entire game and find all the secrets to. Now in 2012, I had the urge to replay this game again. To get those feeling of being so young. I'm 19, and the magic is completely gone, and for ONE REASON.BE WARNED...... if you have a full HD TV and have a PS3, and bought a physical copy of this game......the playback visuals of this game will be absolutely HORRIBLE! It completely hinders your ability to even play through the game because EVERYTHING is so pixelated if you will. Like I NEVER remembered this game looking so bad before, but I have to assume it had always looked this way but I was in a different era of technology then. HD TVs are completely unforgiving to these types of games. I'm not sure if the the digital copy available on the PSN is any better, but the actual physical copy is not meant for a HD display even in it respective aspect ratio. Maybe just playing this game on standard definition TV might help, but I haven't tried that either. I will just have to remember the game like when I was young as the best PS1 game I ever played and then later the only one I ever beat. To the future gamers!",7
"I'm going to fly in the face of convention wisdom and assert that Tomb Raider is not a good game. I like the concept, the puzzle solving and exploration. I like that it's a great diversion from the standard shoot-em up. The problem is with the tedious game play. The game is tough, just from the mental standpoint and it takes some effort to figure out what you're supposed to be doing in each level. But that's part of the fun, figuring things out. Unfortunately, it's moving through the levels and getting from point A to point B that is problematic. There are way too many places where you have to make a pinpoint precision jump or other move with absolutely NO margin for error. In some cases this means you fall somewhere and have to climb back to your starting point, or in some cases you die, meaning you have to start the whole level over again. And after trying one of these jumps over and over and over, you finally get frustrated and give up. There were instances where I tried a jump over and over, and then suddenly made the jump and had no idea what I had done differently from the previous numerous attempts. For any game to be that touchy is just a disgrace. It's too bad, I think I could have liked this game but the tedious pinpoint controller movements ulitmately ruined the game for me. I know it's one of PSX &quot;greatest hits&quot; and very popular, but if don't like tedious games, you'll want to avoid this one.",3
"I didn't beat the game so I guess my opinion shouldn't count...but here it is:This game has GREAT historical value. Prince: Sands of Time, Soul Reaver, God of War and many others are based on some things that Tomb Raider made popular.Game would be perfect if save points were better placed. It would be best to have a save game option at any point but those were old times...What I disliked: I beat Mexico levels playing each one two to six hours. I got to St Francis' Folly level.Things started to look really tiresome: first, I spent too much energy beating pillar sub-level and didn't have spare medpack reaching ground floor. I restarted. I got enough energy by reaching ground but wasn't able to beat pool puzzle on top. Then I figured out that I should have gone to the ground WITHOUT USING SAVE CRYSTALS, open all puzzle doors (top level door is connected to ground switch) and then climb back up...which means another level restart.Maybe this game is for hardcore fans, but I am not one of them...I got frustrated enough to quit.",3
This wwf game sucks...Boring...Graphics are alright...It was just plain awful EVEN FOR IT'S TIME!UGH this game was slo[...] get this game..GET NO MERCY!  BEST WWF GAME EVER!...This game was very dull and boring...If I could give it a zero I would...THIS GAME FLAT OUT SUCKS!good thing I Baught this for a 2 bucks....But still that was a waste...Later,0
"Getting this game would be a waste of time and money.  For halfthe price of this I'd rather get a game that offers better graphics,better realism, and better everything.  If you haven't already guessed it's Red Alert.  Even though it looks pretty good, after about a week you won't want to play it anymore.  With Red Alert I continually go back to try just one more strategy... I think they just sat down and set a deadline for this game and the guys making it waited until the last week to do it.  Right now all you need to do is type in the search box up there &quot;Red Alert&quot; and buy that game... You will have a way better game and not spend as much.",5
"Unless you intend to cheat and mod the game don't waste your money.Uneven gameplay,and few options plague this game,it is also way too short even at this reduced price.Spend your money on a game,just not this one.Hope this helps,I hate to have games collecting dust,but this is one of those and I own about 50 recent games so I know what's what.",5
I thought Red Alert was a pretty fun game. This was just a clone of red alert though. The people that make C&amp;C need to come up with some more ideas. All the C&amp;C games are exactly the same. I didn't like Red Alert to start with so Tiberian Sun has to be worse.,4
"All right, the graphics are nice and the terrain damage is something new, but that doesn't make up for the gameplay, which could be summed up in one word:SLOW.Skirmishes take a real long time to get going; I mean, at least a half an hour before you can get a sizeable force. And then what do you find yourself doing? Protecting your base with them, and attacking with missle launches. I'm dead serious, the only way to attack is with missle launches. To attack with your men (Especially tanks) takes like ten minutes to even get to the enemy base!That being said, the multiplayer is a total waste of time. If the person your playing saves you the trouble of teching and attacks you early on with engineers, consider yourself lucky. Don't get caught up in a 3 hour game that is just about to be resolved, when you or your opponent loses his/her connection. And don't consider engineering a cheap way to attack, it's the only way anyone attacks...THe campaign is allright I guess, if you can stand the poor gameplay to get from cutscene to cutscene (Which aren't as good as Red Alerts were)..... Come on, you can't tell me NOD doesn't have a huge advantage over GDI. They do.Let's hope Kane bites the dust soon, before the C&amp;C series turns as twisted as &quot;The Forgotten&quot;.",4
"Unfortunately this game is just a hodge-podge of elements from the other games.  There are some interesting new units, and I did enjoy the much larger maps.  My biggest complaint is that it is so short.  You are just getting to use some of the more advanced units and the game is over.  You never get the big final battle like at the end of the last two incarnations.  This is by far the shortest game of the bunch.  I finished each side's campaign over the course of three nights, about 9-12 hours of game play.",4
"The game works well on you computer.  I downloaded it from SqaureEnix and love it. I could not download this copy, however since I have Windows 8 and could not find any type of patch for the midi files.  Someone of better computer experience may be able to do it.",2
It is a fun game the first time around and it still is; having some problems with the movies running on my computer.Ronna C.,2
"the game's okay, although i don't think making the charactersin 3d was a very good idea, plus at some points game gets outrightboring,and all the main characters smoke...  although the game will crash sometimes, and it might get stuck, overall, the game is pretty much okay if you don't count crashes and how the characters act and look...  END",5
"I found Half-Life to be somewhat interesting, although it started to run thin by the ending levels. Not many of the levels were amazing, either. Just long hallways, small rooms, and an occasional elevator shaft that you  climb up. I like 3D games that let you be outside, looking over vast plains  of enemies and obstacles. Half-Life just didn't cut it in this  arena.Another thing that I found most disturbing was the extreme  gore/violence that is present throughout the game. When your science  project goes wrong, you walk out to find a scientist lying on the ground  with about 10 gallons of blood spread all over the walls and floor! Were  the programmers just trying to be sick here or what? When you reach the  levels in which you begin to fight the army grunts (who are the best  enemies), it gets even more grotesque. If you let off an entire clip of  bullets at one guy, expect to see a wall covered with blood. Sure, you can  turn it off, but it does very little good. The blood is still very  disturbing. This is one aspect of the game that is extremely unacceptable.  I am not a parent saying this, either, I'm a teenager.Aside from the  violence and lack of interesting levels, the game is pretty much void of  any lasting qualities. If you want a weekend of pure hell (both keeping you  stuck to your computer and grossing you out entirely) then buy this game.  Otherwise, don't bother.",3
"Maybe its me, but Half Life is too crude to be an engaging play.  Been meaning to play it for years, but never got to it.  I played Half Life 2 first, and that is simply the best experience in gameing I've ever had.  It is brilliant.  I can see how 2 is a derivative and continuation of 1.But after a few hours, I simply could not take the constant jumping/missing/dying.  And the totally totally obscure paths through each scene.  The long passages with no health.  The obscure mazes and constant times of being squished.  After a while, I became so frustrated I simply stopped playing the game.There were some jump/fall/sqish episodes where replayed the silly jump part over 100 times.  I think that the playability is dated, just like the graphics.  The peculiar movement, where you always run, and have to press shift just to walk and not fall or overshoot where you're trying to get to, is simply not a current way to control movement.All in all, a charming prequel to the best game ever.  I'm sure this game was truly groundbreaking 7-8 years ago when it first shipped.  But by today's standards, its not for me at least.  I cannot wait for more from Valve, as they are fantastic.  But this one, I'll pass forever",3
"Well, that's what CGW editor Jeff Green called &quot;Unreal&quot;. After playing it, I'm inclined to agree. It incorporates (on a small scale) elements of adventure games, which slows down the first-person action  without actually adding much weight to the alleged story. It does look  nice, though, at least for a 1997 era game.",5
"This has to be the most detailed and beautifully rendered game ever made.  The monsters look real, the weapons look sleek, and the animation is very realistic, with no jerkiness.  Unfortunately, this game requires totally  unreal system requirements!  Anything less than a PentiumII/300MHz  processor runs like garbage unless everything is turned down, and, well,  there goes the graphics!  This game was the chief reason for my system  being upgraded!  Also, remember the sleek weapons I described?  Well,  they're sleek, but that's it.  For crying out loud, it takes THREE HITS  with a ROCKET LAUNCHER to kill one of the BASIC enemies (the Skaarj).  There's no bang to them at all!  Plus, another good thing about Unreal is  the multiplayer games where you can play against computer-controlled  opponents (bots).  Sounds good, right?  Wrong.  Unless you put the skill  level down nearly all the way, simply aiming a gun at the bot will cause it  to zig-zag in a way that is impossible to hit, all while shooting at you  with godlike aim!  Other than the steep system requirements, the  difficulty of the bots, and the bangless weapons, the game is very good and  highly customizable for all those hackers and map makers out there.  You'll  get your money's worth, but I hope you're good at strafing while shooting,  otherwise you'll NEVER win!",4
"Well, going into it, I heard that this was SO much better than Quake III arena.  I had played that game, and I liked it.  So, I gave Unreal a go.  After playing for a while, I played Quake III again.  Within a few minutes,  I quit Quake, uninstalled Unreal, and went back to playing Quake.  The  difference in the graphics was incredable.  All the sharp edges are fine,  but I perfer the revolutionaly rounded surfaces.  Quake III blew Unreal out  of the water graphically.  What about the game play?  Well, I was kidna  dissapointed.  Quake III is very intense, the kind of game you get caught  up in.  I found myself playing Unreal, just to see what it was like.  It  had no draw whatsoever.  I thought the weapons were fairly difficult to  use, and were kinda cheesy.  For me, it is all Quake III.",4
I use to play this AGES ago and use to be pretty good. I started playing it again and I now found that the controls (at least for me) don't seem very forgiving. In order to do tricks you have to place the toggle in the exact correct place (at least pretty spot on). You also have to land in a specific position or else you crash (too many crashes makes it so you can't finish the race). The half-pipe mode is pretty decent though and can range from super easy to insanely hard. Overall a not so bad game for that time.,1
this is the stuppidiest game i've ever played. I advise everyone not to play it or buy it. It really sucked.,5
"this game is the hardest game ive ever played, and that takes away the fun. also graphics very poor even for nintendo 64 cannot even recommend for people i dislike dont waste your time or money worst n64 game ever",6
"Many people believe that this is a copy of Super Mario 64. I have played Super Mario 64 DS, and I must say that for the most part they are correct. The only thing different from this game is the puzzle-finding element to the game. If you are into strategy and action games the two games you should have in mind are Super Mario 64 and Banjo Kazooie. But, suppose you could only take one. Which would you purchase? Both are almost the same. If you like games where you have to think and games that are tedious, both are for you. Overall, since Banjo-Kazooie makes you think quite a bit more and has the extra puzzle-finding feature to it, I would suggest you pick up Banjo-Kazooie first and then either get Banjo-Tooie if you truly enjoyed the first game, or get Super Mario 64 if you want to play a slightly different video game. Also, Banjo-Kazooie is A LOT easier than Super Mario 64. So when you go to the store to pick which of the two games to buy, remember that unless you have a lot of free time on you hands, you probably shouldn't buy Super Mario 64.",6
Not one of the best games. I would have rather played Mario just once. I only play it for about two minutes. I fall asleep afterward.,6
"When I looked for the game I was looking for this for a tear Play Station 3. The view on this game I liked. When I received it was not discovered for version 3, but 2.I am very upset",2
"This is the third game in the main series of Crash Bandicoot. This game has outstanding gameplay and visuals. It's a Crash game, so you should know it's good.So, here are the final results of the review.Graphics 9/10 or 4/5Sound 8/10 or 3/5Gameplay 10/10 or 5/5This game is also the seventh best selling Playstation game.",5
i played this game at a cousins house but i dont play games as long as i use to any more i love the level when i play as his sister and ride a tiger,5
"I have played this game before and it is very fun! That is why I came to Amazon to order myself another copy of the game so that I could go back in time and enjoy a classic game. However, I bought it from the seller &#34;Warehouse Deals, Inc&#34; and I did NOT get my game and there is no place for me to get in contact with them. Watch Out!",5
I like this game but its not really fun its kinda boring. Its really confusing the game when you die you have too start over but i dont think you can press save. 5/10,3
This game is boring get the one for GameCube if you can that is much more fun.,5
